Address,Area,Frontage,Access Road,House direction,Balcony direction,Bedrooms,Bathrooms,Legal status,Furniture state,Price,Day,Province,District,Detail,Price_per_m2,Area_Group,Price_Segment,Latitude,Longitude
"Hưng Yên, Văn Giang, Căn hộ chung cư tại Alumi - Alluvia City",114.93,6.0,10.0,Tây - Bắc,Bắc,3.0,2.0,Hợp đồng mua bán,Không xác định,7.65,2,Hưng Yên,Văn Giang,Căn hộ chung cư tại Alumi - Alluvia City,0.07,>90 m²,6-8 tỷ,20.6464,106.0511
"Đà Nẵng, Sơn Trà, Căn hộ chung cư tại The Legend City",500.0,6.0,10.0,Không xác định,Không xác định,8.0,6.0,Đã có sổ,Đầy đủ,58.0,8,Đà Nẵng,Sơn Trà,Căn hộ chung cư tại The Legend City,0.12,>90 m²,>10 tỷ,16.0544,108.2022
"Hà Nội, Thanh Trì, Căn hộ chung cư tại BlueGem Tower",99.0,6.0,10.0,Không xác định,Không xác định,3.0,2.0,Đã có sổ,Đầy đủ,13.17,8,Hà Nội,Thanh Trì,Căn hộ chung cư tại BlueGem Tower,0.13,>90 m²,>10 tỷ,21.0285,105.8542
"Bà Rịa Vũng Tàu, Phú Mỹ, Căn hộ chung cư tại Maison Grand Phú Mỹ",49.0,6.0,10.0,Không xác định,Không xác định,1.0,1.0,Hợp đồng mua bán,Đầy đủ,1.95,8,Bà Rịa Vũng Tàu,Phú Mỹ,Căn hộ chung cư tại Maison Grand Phú Mỹ,0.04,30-50 m²,<4 tỷ,10.4114,107.1362
"Phú Thọ, Việt Trì, Căn hộ chung cư tại Nexus Tower",60.8,6.0,10.0,Không xác định,Không xác định,3.0,2.0,Hợp đồng mua bán,Không xác định,0.05,11,Phú Thọ,Việt Trì,Căn hộ chung cư tại Nexus Tower,0.0,50-70 m²,<4 tỷ,21.3167,105.2167
"Hà Nội, Thanh Trì, Căn hộ chung cư tại Tứ Hiệp Plaza",64.0,6.0,10.0,Đông - Nam,Tây - Bắc,2.0,2.0,Đã có sổ,Đầy đủ,4.5,5,Hà Nội,Thanh Trì,Căn hộ chung cư tại Tứ Hiệp Plaza,0.07,50-70 m²,4-6 tỷ,21.0285,105.8542
"Long An, Bến Lức, Căn hộ chung cư tại Sky Retreat",111.78,6.0,10.0,Tây - Bắc,Đông - Nam,3.0,2.0,Hợp đồng mua bán,Cơ bản,6.4,11,Long An,Bến Lức,Căn hộ chung cư tại Sky Retreat,0.06,>90 m²,6-8 tỷ,10.536,106.4099
"Bình Dương, Thuận An, Căn hộ chung cư tại Setia Edenia",50.9,6.0,10.0,Không xác định,Không xác định,1.0,1.0,Hợp đồng mua bán,Cơ bản,1.91,11,Bình Dương,Thuận An,Căn hộ chung cư tại Setia Edenia,0.04,50-70 m²,<4 tỷ,11.1604,106.6508
"Bình Dương, Dĩ An, Căn hộ chung cư tại The Gió Riverside",65.0,6.0,10.0,Không xác định,Không xác định,2.0,2.0,Hợp đồng mua bán,Cơ bản,4.2,11,Bình Dương,Dĩ An,Căn hộ chung cư tại The Gió Riverside,0.06,50-70 m²,4-6 tỷ,11.1604,106.6508
"Hà Nội, Long Biên, Căn hộ chung cư tại The Magnolia Private Residences",72.0,6.0,10.0,Không xác định,Không xác định,3.0,2.0,Không xác định,Không xác định,11.0,5,Hà Nội,Long Biên,Căn hộ chung cư tại The Magnolia Private Residences,0.15,70-90 m²,>10 tỷ,21.0285,105.8542
"Hà Nội, Hai Bà Trưng, Căn hộ chung cư tại Green Pearl 378 Minh Khai",98.0,6.0,10.0,Không xác định,Nam,3.0,2.0,Đã có sổ,Không xác định,9.7,6,Hà Nội,Hai Bà Trưng,Căn hộ chung cư tại Green Pearl 378 Minh Khai,0.1,>90 m²,8-10 tỷ,21.0285,105.8542
"Hà Nội, Tây Hồ, Căn hộ chung cư tại Tây Hồ Riverview",92.0,6.0,10.0,Tây - Nam,Đông - Bắc,3.0,2.0,Không xác định,Không xác định,7.5,7,Hà Nội,Tây Hồ,Căn hộ chung cư tại Tây Hồ Riverview,0.08,>90 m²,6-8 tỷ,21.0285,105.8542
"Hồ Chí Minh, Tân Phú, Căn hộ chung cư tại Diamond Centery",290.0,6.0,10.0,Không xác định,Không xác định,5.0,4.0,Hợp đồng mua bán,Đầy đủ,18.0,11,Hồ Chí Minh,Tân Phú,Căn hộ chung cư tại Diamond Centery,0.06,>90 m²,>10 tỷ,10.7769,106.7009
"Hà Nội, Hoài Đức, Căn hộ chung cư tại Imperia Sky Park",60.0,6.0,10.0,Không xác định,Đông - Nam,2.0,2.0,Hợp đồng mua bán,Cơ bản,6.75,10,Hà Nội,Hoài Đức,Căn hộ chung cư tại Imperia Sky Park,0.11,50-70 m²,6-8 tỷ,21.0285,105.8542
"Hồ Chí Minh, Quận 2, Căn hộ chung cư tại The Global City",74.2,6.0,10.0,Đông - Nam,Tây - Bắc,2.0,2.0,Hợp đồng mua bán,Cơ bản,11.2,12,Hồ Chí Minh,Quận 2,Căn hộ chung cư tại The Global City,0.15,70-90 m²,>10 tỷ,10.7769,106.7009
"Hồ Chí Minh, Quận 2, Căn hộ chung cư tại Eaton Park",75.0,6.0,10.0,Không xác định,Không xác định,2.0,2.0,Hợp đồng mua bán,Không xác định,11.3,12,Hồ Chí Minh,Quận 2,Căn hộ chung cư tại Eaton Park,0.15,70-90 m²,>10 tỷ,10.7769,106.7009
"Hà Nội, Hai Bà Trưng, Căn hộ chung cư tại Chung cư 536A Minh Khai",74.0,6.0,10.0,Bắc,Nam,2.0,2.0,Đã có sổ,Đầy đủ,7.4,14,Hà Nội,Hai Bà Trưng,Căn hộ chung cư tại Chung cư 536A Minh Khai,0.1,70-90 m²,6-8 tỷ,21.0285,105.8542
